ÖĞÎÄÃû,Engilsh Name,±êÇ©/Label
Ü½ÌáÑÅ-ÁÒÍÃ-Ó¾³Ø»¤ÎÀ,Fritia-Turbo Hare-Pool Patrol,girl004b_04
ÜÔÀò°²-±Á´øĞ¡½ã-Ä¬ÈÏ,Marian-default,girl005
ÜÔÀò°²-ËŞÉá-Ä¬ÈÏ,Marian-Dorm-default,girl005_01
ÜÔÀò°²-ËŞÉá-ÎÂÈª,Marian-Dorm-hot spring,girl005_01a
ÜÔÀò°²-ÓêÑà-Ä¬ÈÏ,Marian-Swift-default,girl005a
ÜÔÀò°²-ÓêÑà-Ò»ÖÀÇ§½ğ,Marian-Swift-High Roller,girl005a_02
ÜÔÀò°²-ÓêÑà-ç³È¾Ò¹Ä»,Marian-Swift-Midnight Rose,girl005a_03
ÜÔÀò°²-ÓÄ³±-Ä¬ÈÏ,Marian-Riptide-default,girl005b
ÜÔÀò°²-ÓÄ³±-²ÓÑôÒ»¿Ì,Marian-Riptide-Radiant Sunkiss,girl005b_02
ÜÔÀò°²-ÓÄ³±-ÈŞÎ²ÃÔÃÎ,Marian-Riptide-Bunny Fantasy,girl005b_03
ÜÔÀò°²-ÓÄ³±-ÌğÃÛÀ§ÈÅ,Marian-Riptide-Fashion Dilemma,girl005b_04
Çç-¾ÉÈÕÍõÅÆ-Ä¬ÈÏ,Haru-default,girl006
Çç-ËŞÉá-Ä¬ÈÏ,Haru-Dorm-default,girl006_01
Çç-ËŞÉá-ÎÂÈª,Haru-Dorm-hot spring,girl006_01a
Çç-¾ÉÈÕÍõÅÆ-²»Ãğ·æÃú,Haru-Immortal Blade,girl006_02
Çç-²Ø·æ-Ä¬ÈÏ,Haru-Absconditus-default,girl006a
Çç-²Ø·æ-ÁİÙı¶¬»¨,Haru-Absconditus-Frostbite Flora,girl006a_02
Çç-²Ø·æ-Ñ­·çµıÎè,Haru-Absconditus-Covert Zephyr,girl006a_03
Çç-öª¹â-Ä¬ÈÏ,Haru-Raikou-default,girl006b
Çç-öª¹â-Çå¹âò¯Ô¸,Haru-Raikou-Snowveiled Shrine,girl006b_02
ÇÙÅµ-Ë«Ãæ-Ä¬ÈÏ,Cherno-default,girl007
ÇÙÅµ-ËŞÉá-Ä¬ÈÏ,Cherno-Dorm-default,girl007_01
ÇÙÅµ-ËŞÉá-ÎÂÈª,Cherno-Dorm-hot spring,girl007_01a
ÇÙÅµ-ã£Ãı-Ä¬ÈÏ,Cherno-Enigma-default,girl007a
ÇÙÅµ-ã£Ãı-¼ûÏ°ÊÌ·î,Cherno-Enigma-Apprentice Maid,girl007a_02
ÇÙÅµ-ã£Ãı-¾²ñö³±ÔÏ,Cherno-Enigma-Tidal Whispers,girl007a_04
ÇÙÅµ-ã£Ãı-ÇåºÉÑÅŞÄ,Cherno-Enigma-Dual Tranquility,girl007a_05
·ÒÄİ-»Æ½ğÊ¨×Ó-Ä¬ÈÏ,Fenny-default,girl008
·ÒÄİ-ËŞÉá-Ä¬ÈÏ,Fenny-Dorm-default,girl008_01
·ÒÄİ-ËŞÉá-ÎÂÈª,Fenny-Dorm-hot spring,girl008_01a
·ÒÄİ-»Æ½ğÊ¨×Ó-ÍıÏëĞÂĞÇ,Fenny-Delusional Starlet,girl008_02
·ÒÄİ-»Æ½ğÊ¨×Ó-²»Ãğ°Á×Ë,Fenny-Indomitable Charm,girl008_03
·ÒÄİ-»Æ½ğÊ¨×Ó-è²Ò¹»ª²Ê,Fenny-Dazzling Roar,girl008_05
·ÒÄİ-¾Ì¹Ú-Ä¬ÈÏ,Fenny-Coronet-default,girl008a
·ÒÄİ-¾Ì¹Ú-·ä´ÌÇ¾Ş±,Fenny-Coronet-Stinging Rose,girl008a_02
·ÒÄİ-¾Ì¹Ú-³õÇç½ğÑ©,Fenny-Coronet-Slopestyle Diva,girl008a_03
·ÒÄİ-¾Ì¹Ú-ÌğÃÛÍ³ÖÎ-³öĞĞ,Fenny-Coronet-Sugar Queen-old,girl008a_04
·ÒÄİ-¾Ì¹Ú-ÌğÃÛÍ³ÖÎ,Fenny-Coronet-Sugar Queen,girl008a_05
·ÒÄİ-»ÔÒ«-Ä¬ÈÏ,Fenny-Starshine-default,girl008b
·ÒÄİ-»ÔÒ«-ÕÀÓÚÁµÊ±,Fenny-Starshine-Flourish of Heart,girl008b_02
·ÒÄİ-»ÔÒ«-½ğÊ¨ÎèÈğ,Fenny-Starshine-Lucky Lioness,girl008b_03
·ÒÄİ-»ÔÒ«-¼²ËÙÒ«ĞÇ,Fenny-Starshine-Nitro Nova,girl008b_04
·ÒÄİ-»ÔÒ«-ÆÆÑæ°ÁÕÀ,Fenny-Starshine-ÆÆÑæ°ÁÕÀ,girl008b_05
·ÒÄİ-³ÎÒâ-Ä¬ÈÏ,Fenny-Pureheart-default,girl008c
·ÒÄİ-³ÎÒâ-Ï¦êÍÃÛÔ¼,Fenny-Pureheart-Sunset Sweet,girl008c_02
·ÒÄİ-³ÎÒâ-ËÌÒ¹»¶¸è,Fenny-Pureheart-Jingle of Joy,girl008c_03
ëÈ-ÑøÉú×¨¼Ò-Ä¬ÈÏ,Yao-default,girl010
ëÈ-ËŞÉá-Ä¬ÈÏ,Yao-Dorm-default,girl010_01
ëÈ-ËŞÉá-ÎÂÈª,Yao-Dorm-hot spring,girl010_01a
ëÈ-ÑøÉú×¨¼Ò-¹¤×÷×ÚÖ¼,Yao-Work Goal,girl010_02
ëÈ-ÑøÉú×¨¼Ò-²»Ãğ²Ğ»Ô,Yao-Enduring Valor,girl010_03
ëÈ-¶¬ÖÁ-Ä¬ÈÏ,Yao-Winter solstice-default,girl010a
ëÈ-¶¬ÖÁ-Ñ©ÁëÑæĞĞ,Yao-Winter solstice-Snowridge Sledding,girl010a_02
ëÈ-¶¬ÖÁ-ôÔôÔÎ²ÀË,Yao-Winter solstice-Sparkling Swell,girl010a_03
ëÈ-¶¬ÖÁ-Å¯Ü°ÊÌ·î,Yao-Winter solstice-Tidy Marksmaid,girl010a_04
ëÈ-Ò¹Ìì¹â-Ä¬ÈÏ,Yao-Nightglow-default,girl010b
ëÈ-Ò¹Ìì¹â-Å¯Ò¹Çéõ¸,Yao-Nightglow-Tender Temptation,girl010b_02
ëÈ-Ò¹Ìì¹â-¹²´ıÊïÃ÷,Yao-Nightglow-Vigilant Dawn,girl010b_03
ëÈ-Ò¹Ìì¹â-Å¯ÎíÄıíø,Yao-Nightglow-Gaze of Lace,girl010b_04
¶÷ÑÅ-½ã½ã´óÈË-Ä¬ÈÏ,Enya-default,girl011
¶÷ÑÅ-ËŞÉá-Ä¬ÈÏ,Enya-Dorm-default,girl011_01
¶÷ÑÅ-ËŞÉá-ÎÂÈª,Enya-Dorm-hot spring,girl011_01a
¶÷ÑÅ-½ã½ã´óÈË-ÇéÃÔÑ×ÈÕ,Enya-Sultry Sunshine,girl011_02
¶÷ÑÅ-ÓğÍÉ-Ä¬ÈÏ,Enya-Exuvia-default,girl011a
¶÷ÑÅ-ÓğÍÉ-ÇáÓïÁÆ·¨,Enya-Exuvia-Kiss Be the Remedy,girl011a_02
¶÷ÑÅ-ÓğÍÉ-Ç³í¬Ö®´¦,Enya-Exuvia-Seacove Serenity,girl011a_03
¶÷ÑÅ-ÓğÍÉ-×¨Êô½ÌÁ·,Enya-Exuvia-Exclusive Trainer,girl011a_04
¶÷ÑÅ-À½·ç-Ä¬ÈÏ,Enya-Tempest-default,girl011b
¶÷ÑÅ-À½·ç-ÍûÔÆÇåÓ½,Enya-Tempest-Pure Devotion,girl011b_02
¶÷ÑÅ-À½·ç-ÃØÃÜÊÌ·î,Enya-Tempest-Intimate Maid,girl011b_03
¶÷ÑÅ-À½·ç-ÁµÁµÇïĞĞ,Enya-Tempest-Fall for You,girl011b_04
Ã¨Ï«¶û-Ã¨Ã¨-Ä¬ÈÏ,Mauxir-default,girl012
Ã¨Ï«¶û-ËŞÉá-Ä¬ÈÏ,Mauxir-Dorm-default,girl012_01
Ã¨Ï«¶û-ËŞÉá-ÎÂÈª,Mauxir-Dorm-hot spring,girl012_01a
Ã¨Ï«¶û-Ã¨Ã¨-»êÁé¸¿ºÛ,Mauxir-Echoes of Souls,girl012_02
Ã¨Ï«¶û-Ã¨Ã¨-²»ÃğÁéÓ°,Mauxir-Undying Spirit,girl012_03
Ã¨Ï«¶û-ËİÓ°-Ä¬ÈÏ,Mauxir-Shadow ka-default,girl012a
Ã¨Ï«¶û-ËİÓ°-×ÆÑô¼ÙÆÚ,Mauxir-Shadow ka-Sizzling Holiday,girl012a_02
Ã¨Ï«¶û-ËİÓ°-ß÷²½ÇÉÔ¾,Mauxir-Shadow ka-Feline Grace,girl012a_03
Ã¨Ï«¶û-Á«Çı-Ä¬ÈÏ,Mauxir-Lotus-default,girl012b
Ã¨Ï«¶û-Á«Çı-ß÷ÓïÆíÄî,Mauxir-Lotus-Purrfect Prayer,girl012b_02
ÉªÈğË¿-Ğ¡½ğÓã-Ä¬ÈÏ,Siris-default,girl013
ÉªÈğË¿-ËŞÉá-Ä¬ÈÏ,Siris-Dorm-default,girl013_01
ÉªÈğË¿-ËŞÉá-ÎÂÈª,Siris-Dorm-hot spring,girl013_01a
ÉªÈğË¿-Ğ¡½ğÓã-²»ÃğºãÒä,Siris-Persistent Memory,girl013_03
ÉªÈğË¿-Ë²¿Ì-Ä¬ÈÏ,Siris-Ksana-default,girl013a
ÉªÈğË¿-Ë²¿Ì-Ğëô§õäõÑ,Siris-Ksana-Flutter of Ecstasy,girl013a_02
ÉªÈğË¿-Ë²¿Ì-Ë²¿ÌåüÌ¬(Ä¬ÈÏ2),Siris-Ksana-default2,girl013a_03
ÉªÈğË¿-Ë²¿Ì-°ßìµË®É«,Siris-Ksana-Underwater Hues,girl013a_04
ÉªÈğË¿-Ë²¿Ì-´¿°×Îçºó,Siris-Ksana-Creamy Delight,girl013a_05
ÉªÈğË¹-ÓÆÓÎ-Ä¬ÈÏ,Siris-Freefin-default,girl013b
ÉªÈğË¹-ÓÆÓÎ-±Ì²¨¸¡ÓÎ,Siris-Freefin-Azure Drift,girl013b_02
³½ĞÇ-¹Û²âÕß-Ä¬ÈÏ,Chenxing-default,girl014
³½ĞÇ-ËŞÉá-Ä¬ÈÏ,Chenxing-Dorm-default,girl014_01
³½ĞÇ-ËŞÉá-ÎÂÈª,Chenxing-Dorm-hot spring,girl014_01a
³½ĞÇ-¹Û²âÕß-²»ÃğÊØÍû,Chenxing-Eternal Watch,girl014_02
³½ĞÇ-ÔÆ×­-Ä¬ÈÏ,Chenxing-Ethereal cloud-default,girl014a
³½ĞÇ-ÔÆ×­-µ¤ôáÒ°º×,Chenxing-Ethereal cloud-µ¤ôáÒ°º×,girl014a_02
³½ĞÇ-ÔÆ×­-²¨¹âÙ»Ó°,Chenxing-Ethereal cloud-Wavecrest Glimmer,girl014a_03
³½ĞÇ-ÔÆ×­-µãÄ«»¯Áú,Chenxing-Ethereal cloud-Inkstroke Dragoness,girl014a_04
³½ĞÇ-ÇíÏÒ-Ä¬ÈÏ,Chenxing-Jade Arc-default,girl014b
³½ĞÇ-ÇíÏÒ-ĞÀÃèºì×±,Chenxing-Jade Arc-Rouge Bliss,girl014b_02
³½ĞÇ-ÇíÏÒ-ã¼ÒĞ»¨Òõ,Chenxing-Jade Arc-Full Bloom,girl014b_03
³½ĞÇ-ÇíÏÒ-ÈáÒĞÉíÅÏ,Chenxing-Jade Arc-Tender Agenda,girl014b_04
¿­Üçæ«-À¶ÉÁ-Ä¬ÈÏ,Katya-default,girl015
¿­Üçæ«-ËŞÉá-Ä¬ÈÏ,Katya-Dorm-default,girl015_01
¿­Üçæ«-ËŞÉá-ÎÂÈª,Katya-Dorm-hot spring,girl015_01a
¿­Üçæ«-À¶ÉÁ-Ô¶Çú¶ÀÎè,Katya-Graceful Danseuse,girl015_02
¿­Üçæ«-À¶ÉÁ-ÈÕ³£³öĞĞ(Ä¬ÈÏ2),Katya-ÈÕ³£³öĞĞ(Ä¬ÈÏ2),girl015_03
¿­Üçæ«-À¶ÉÁ-ÌùÉíÌØÖú,Katya-Private Secretary,girl015_04
¿­Üçæ«-À¶ÉÁ-ÌùÉíÌØÖú£¨Ôù£©,Katya-ÌùÉíÌØÖú£¨Ôù£©,girl015_05
¿­Üçæ«-À¶ÉÁ-ÓÄÉÁ÷È×Ù,Katya-ÓÄÉÁ÷È×Ù,girl015_06
¿­Üçæ«-³¯Òí-Ä¬ÈÏ,Katya-Dawnwing-default,girl015a
¿­Üçæ«-³¯Òí-ãåÀË¾ë×Ë,Katya-Dawnwing-Surfside Leisure,girl015a_02
¿­Üçæ«-³¯Òí-ÃØÃÜ²Êµ°,Katya-Dawnwing-Special Surprise,girl015a_03
¿­Üçæ«-³¯Òí-ç²½õÁ÷ÔÏ,Katya-Dawnwing-Classy Elegance,girl015a_04
¿­Üçæ«-¿ñÊ«-Ä¬ÈÏ,Katya-Rhapsody-default,girl015b
¿­Üçæ«-¿ñÊ«-ĞÇ¸§ÁµÒô,Katya-Rhapsody-Starlove Vow,girl015b_02
¿­Üçæ«-¿ñÊ«-»¨¼äµû×Ù,Katya-Rhapsody-Winged Snare,girl015b_03
ÒÁÇĞ¶û-±ª±ª-Ä¬ÈÏ,Eatchel-The cub-default,girl016
ÒÁÇĞ¶û-ËŞÉá-Ä¬ÈÏ,Eatchel-Dorm-default,girl016_01
ÒÁÇĞ¶û-ËŞÉá-ÎÂÈª,Eatchel-Dorm-hot spring,girl016_01a
ÒÁÇĞ¶û-±ª±ª-³Ùµ½»¨ÀÙ,Eatchel-The cub-Overdue Radiance,girl016_02
ÒÁÇĞ¶û-±ª±ª-ÈŞÈŞÂş²½,Eatchel-The cub-Fluffy Ollie,girl016_03
ÒÁÇĞ¶û-±ª±ª-²¶ÁÔÑİÏ°,Eatchel-The cub-Prowl and Pounce,girl016_04
Ì¦Ë¿-Ä§ÊõÊ¦-Ä¬ÈÏ,Tess-magician-default,girl017
Ì¦Ë¿-ËŞÉá-Ä¬ÈÏ,Tess-Dorm-default,girl017_01
Ì¦Ë¿-ËŞÉá-ÎÂÈª,Tess-Dorm-hot spring,girl017_01a
Ì¦Ë¿-Ä§ÊõÊ¦-Á÷·Å»¶Óä,Tess-magician-Merry-in-Exile,girl017_02
Ì¦Ë¿-Ä§ÊõÊ¦-ÃØÃÜÔ¼»á,Tess-magician-Secret Date,girl017_04
Ì¦Ë¿-ç²»Ã-Ä¬ÈÏ,Tess-Phantasia-default,girl017a
Ì¦Ë¿-ç²»Ã-ÁµÈç»¨Îè,Tess-Phantasia-Blossom for You,girl017a_02
Ş±µÙÑÅ-ÁúÉàÀ¼-Ä¬ÈÏ,Vidya-Agave-default,girl018
Ş±µÙÑÅ-ËŞÉá-Ä¬ÈÏ,Vidya-Dorm-default,girl018_01
Ş±µÙÑÅ-ËŞÉá-ÎÂÈª,Vidya-Dorm-hot spring,girl018_01a
Ş±µÙÑÅ-ÁúÉàÀ¼-´äôáÙ»×Ë,Vidya-Agave-Plumed Beauty,girl018_02
Ş±µÙÑÅ-ÁúÉàÀ¼-ÎèÒ¹ÓëÑæ,Vidya-Agave-Dance by Firelight,girl018_03
Ş±µÙÑÅ-Ìì¶ì×ù-Ä¬ÈÏ,Vidya-Celestial Swan-default,girl018a
Ş±µÙÑÅ-Ìì¶ì×ù-ÔÆ¶ËÖ®Ñû,Vidya-Celestial Swan-Flight of Fantasy,girl018a_02
Ş±µÙÑÅ-Ìì¶ì×ù-º£¾³öŞÃÎ,Vidya-Celestial Swan-Aqua Mirage,girl018a_03
²·²·-Ğ¡ÌìÊ¦-Ä¬ÈÏ,Bubu-The Geomancer-default,girl020
²·²·-ËŞÉá-Ä¬ÈÏ,Bubu-Dorm-default,girl020_01
²·²·-ËŞÉá-ÎÂÈª,Bubu-Dorm-hot spring,girl020_01a
²·²·-Ğ¡ÌìÊ¦-ÔªÆøÓúÑø,Bubu-The Geomancer-Vitality Checkup,girl020_02
²·²·-Ğ¡ÌìÊ¦-³©Òû¿ñ»¶,Bubu-The Geomancer-Fizzy Revelry,girl020_03
²·²·-Ğ¡ÌìÊ¦-ÓêÇßÇáÉÀ,Bubu-The Geomancer-Drizzle Gossamer,girl020_04
²·²·-Áé¼ø-Ä¬ÈÏ,Bubu-Specular Soul-default,girl020a
²·²·-Áé¼ø-ç²ÁµĞÇÁé,Bubu-Specular Soul-Heartspell Magic,girl020a_02
ÄÎÀòµÂ-Ú¤ºÓ´úÀíÈË-Ä¬ÈÏ,Nerida-Styx Envoy-default,girl021
ÄÎÀòµÂ-ËŞÉá-Ä¬ÈÏ,Nerida-Dorm-default,girl021_01
ÄÎÀòµÂ-ËŞÉá-ÎÂÈª,Nerida-Dorm-hot spring,girl021_01a
ÄÎÀòµÂ-Ú¤ºÓ´úÀíÈË-³¿êØÍ³Áî,Nerida-Styx Envoy-Dawn's Command,girl021_02
ÄÎÀòµÂ-Ú¤ºÓ´úÀíÈË-ÈÈÉ³¼¤ÀË,Nerida-Styx Envoy-Sunspray Surge,girl021_03
¿ËÂŞÈğÄÈ-ç³ÔÂ-Ä¬ÈÏ,Clarina-Crimson Moon-default,girl022
¿ËÂŞÈğÄÈ-ËŞÉá-Ä¬ÈÏ,Clarina-Drom-default,girl022_01
¿ËÂŞÈğÄÈ-ËŞÉá-ÎÂÈª,Clarina-Drom-hot spring,girl022_01a
¿ËÂŞÈğÄÈ-ç³ÔÂ-ğ¨ÔÂÓÄÆí,Clarina-Crimson Moon-Moonbeam Angel,girl022_02
Ã×æ«-ĞÇ²Ê-Ä¬ÈÏ,Mia-Starchaser-default,girl023
Ã×æ«-ËŞÉá-Ä¬ÈÏ,Mia-Drom-default,girl023_01
Ã×æ«-ËŞÉá-ÎÂÈª,Mia-Drom-hot spring,girl023_01a
Ã×æ«-ĞÇ²Ê-°µ¿Õ÷ÈÓ°,Mia-Starchaser-Heistress' Kiss,girl023_02
